TOKIO MARINE SEGURADORA S.A;Tokio Marine Seguradora S/A;[15-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/33164021_Tokio-Marine---Open-Insurance-Barazil-V1.0.0_consents_v2.3_15-07-2023.json);[15-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/33164021_Tokio-Marine---Open-Insurance-Brazil-V1.0.0_customers-personal_v1.4_15-07-2023.json);[15-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/33164021_Tokio-Marine---Open-Insurance-Barazil-V1.0.0_customers-business_v1.4_15-07-2023.json);[15-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/33164021_Tokio-Marine---Open-Insurance-Brazil-V1.0.0_resources_v1.2_15-07-2023.json);;;[29-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/patrimonial/1.3.0/33164021_Tokio-Marine---Open-Insurance-Barazil-V1.0.0_patrimonial_v1.3-RL_29-07-2023.json);
SAFRA SEGUROS GERAIS S.A.;Safra Seguros (Clientes PF);[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/06109373_Consents-v2.3_consents_v2.3_25-07-2023.json);[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/06109373_Customer-Personal-v1.4_customers-personal_v1.4_25-07-2023.json);[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/06109373_Customer-Business-V1.4_customers-business_v1.4_25-07-2023.json);[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/06109373_Resources-V2_resources_v2.3_25-07-2023.json);;;[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/patrimonial/1.3.0/06109373_Patrimonial-V1.3_patrimonial_v1.3-RL-CC-EM-RNRO-GB-LC-RE-AB-RD-GE_25-07-2023.json);
TOO SEGUROS S.A;Too Seguros;[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/33245762_Too-Seguros-Auth-Server_consents_v2.3_25-07-2023.json);[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/33245762_Too-Seguros-Auth-Server_customers-personal_v1.4_25-07-2023.json);[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/33245762_Too-Seguros-Auth-Server_customers-business_v1.4_25-07-2023.json);[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/33245762_Too-Seguros-Auth-Server_resources_v2.3_25-07-2023.json);;;[25-Jul-2023](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/patrimonial/1.3.0/33245762_Too-Seguros-Auth-Server_patrimonial_v1.3-RL_25-07-2023.json);
SANTANDER CAPITALIZACAO S.A.;Santander Capitalização;[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/32090920_SANTANDER-CAPITALIZACAO-SA-1-AUGUST-2023_consents_v2.3_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/32090920_SANTANDER-CAPITALIZACAO-SA-1-AUGUST-2023_customers-personal_v1.4_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/32090920_SANTANDER-CAPITALIZACAO-SA-1-AUGUST-2023_customers-business_v1.4_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/32090920_SANTANDER-CAPITALIZACAO-SA-1-AUGUST-2023_resources_v2.3_27-07-2023.json);;;;
CAIXA SEGURADORA S.A.;Previsul;[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/92751213_COMPANHIA-DE-SEGUROS-PREVIDENCIA-DO-SUL---PREVISUL_consents_v2.3_28-07-2023.json);[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/92751213_COMPANHIA-DE-SEGUROS-PREVIDENCIA-DO-SUL---PREVISUL_customers-personal_v1.4_28-07-2023.json);;[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/92751213_COMPANHIA-DE-SEGUROS-PREVIDENCIA-DO-SUL---PREVISUL_resources_v2.3_28-07-2023.json);;;[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/patrimonial/1.3.0/92751213_COMPANHIA-DE-SEGUROS-PREVIDENCIA-DO-SUL---PREVISUL_patrimonial_v1.3-RL-CC-EM-RNRO-GB-LC-RE-AB-RD-GE_28-07-2023.json);
BTG PACTUAL SEGUROS S.A.;BTG PACTUAL SEGUROS;[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/32724962_BTG-Pactual-Seguros-OPIN-v1.0.0_consents_v2.3_28-07-2023.json);[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/32724962_BTG-Pactual-Seguros-OPIN-v1.0.0_customers-personal_v1.4_28-07-2023.json);[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/32724962_BTG-Pactual-Seguros-OPIN-v1.0.0_customers-business_v1.4_28-07-2023.json);[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/32724962_BTG-Pactual-Seguros-OPIN-v1.0.0_resources_v2.3_28-07-2023.json);;;;
CAIXA SEGURADORA S.A.;CNP Capitalização;[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/01599296_CNP-Capitalização-OPIN-V.-1.0_consents_v2.3_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/01599296_CNP-Capitalização-OPIN-V.-1.0_customers-personal_v1.4_27-07-2023.json);;[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/01599296_CNP-Capitalização-OPIN-V.-1.0_resources_v2.3_27-07-2023.json);;;;
ITAU SEGUROS S.A.;Itaú Seguros S.A.;[20-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/61557039_Itau-Seguros-Open-Insurance-Brazil-v2.3.0_consents_v2.3_20-07-2023.json);[14-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/61557039_Itau-Seguros-Open-Insurance-Brazil-v1.4.0_customers-personal_v1.4_14-07-2023.json);[15-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/61557039_Itau-Seguros-Open-Insurance-Brazil-v1.4.0_customers-business_v1.4_15-07-2023.json);[20-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/61557039_Itau-Seguros-Open-Insurance-Brazil-v2.3.0_resources_v1.2_20-07-2023.json);;;;
CAIXA SEGURADORA S.A.;Caixa Seguradora;[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/34020354_Caixa-Seguradora-OPIN-V.-1.0_consents_v2.3_25-07-2023.json);[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/34020354_Caixa-Seguradora-OPIN-V.-1.0_customers-personal_v1.4_25-07-2023.json);;[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/34020354_Caixa-Seguradora-OPIN-V.-1.0_resources_v2.3_25-07-2023.json);;;[25-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/patrimonial/1.3.0/34020354_Caixa-Seguradora-OPIN-V.-1.0_patrimonial_v1.3-RL-CC-EM-RNRO-GB-LC-RE-AB-RD-GE_25-07-2023.json);
CAIXA SEGURADORA S.A.;Youse;[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/24856160_Youse-OPIN-V.-1.0_consents_v2.3_28-07-2023.json);[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/24856160_Youse-OPIN-V.-1.0_customers-personal_v1.4_28-07-2023.json);;[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/24856160_Youse-OPIN-V.-1.0_resources_v2.3_28-07-2023.json);;;[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/patrimonial/1.3.0/24856160_Youse-OPIN-V.-1.0_patrimonial_v1.3-RL-CC-EM-RNRO-GB-LC-RE-AB-RD-GE_28-07-2023.json);
